     istep   total_energy_diff     max_eigval_diff      max_delta_diff                 miu
       167    6.3736629341E-11    1.4372603108E-09    2.2822218456E-07   -4.7388833157E-01
       168    6.2611597012E-11    1.4157930384E-09    2.2466303258E-07   -4.7388833148E-01
       169    6.1517587285E-11    1.3946312438E-09    2.2116147511E-07   -4.7388833139E-01
       170    6.0431564720E-11    1.3737713189E-09    2.1771618736E-07   -4.7388833130E-01
       171    5.9370429690E-11    1.3532094889E-09    2.1432463223E-07   -4.7388833121E-01
       172    5.8344600233E-11    1.3329416459E-09    2.1098597203E-07   -4.7388833113E-01
       173    5.7306384886E-11    1.3129640708E-09    2.0769938162E-07   -4.7388833104E-01
       174    5.6325700259E-11    1.2932735438E-09    2.0446404924E-07   -4.7388833096E-01
       175    5.5336218178E-11    1.2738654576E-09    2.0127917539E-07   -4.7388833088E-01
       176    5.4371855144E-11    1.2547372030E-09    1.9814397309E-07   -4.7388833080E-01
       177    5.3432263888E-11    1.2358841173E-09    1.9505766789E-07   -4.7388833072E-01
       178    5.2499965259E-11    1.2173033137E-09    1.9201949694E-07   -4.7388833064E-01
       179    5.1600425571E-11    1.1989905735E-09    1.8902870971E-07   -4.7388833056E-01
       180    5.0694982329E-11    1.1809428990E-09    1.8608456708E-07   -4.7388833049E-01
       181    4.9835609965E-11    1.1631574592E-09    1.8318634154E-07   -4.7388833041E-01
       182    4.8968366194E-11    1.1456286475E-09    1.8033331710E-07   -4.7388833034E-01
       183    4.8123810595E-11    1.1283554091E-09    1.7752478850E-07   -4.7388833026E-01
       184    4.7295113564E-11    1.1113323595E-09    1.7476006201E-07   -4.7388833019E-01
       185    4.6482275102E-11    1.0945574447E-09    1.7203845416E-07   -4.7388833012E-01
       186    4.5688999400E-11    1.0780273341E-09    1.6935929271E-07   -4.7388833005E-01
       187    4.4903247836E-11    1.0617384749E-09    1.6672191535E-07   -4.7388832999E-01
       188    4.4136017229E-11    1.0456869259E-09    1.6412567049E-07   -4.7388832992E-01
       189    4.3384645190E-11    1.0298701891E-09    1.6156991648E-07   -4.7388832985E-01
       190    4.2641839093E-11    1.0142853224E-09    1.5905402191E-07   -4.7388832979E-01
