 istep =  100001
     ik     ic     iv              Real              Imag               Abs
    253      1      1   3.747625723E-02   7.844702370E-03   3.828849973E-02
    254      1      1   4.263619058E-02   8.859206549E-03   4.354687460E-02
    255      1      1   4.655288629E-02   9.797636578E-03   4.757273278E-02
    256      1      1   5.044635341E-02   1.234211193E-02   5.193421126E-02
    257      1      1   4.758167677E-02   1.563983368E-02   5.008612943E-02
    258      1      1   5.955424578E-03   1.782948689E-02   1.879781064E-02
    259      1      1  -6.708953054E-02   5.908940870E-03   6.734924417E-02
    260      1      1  -8.412055091E-02  -2.323392148E-04   8.412087177E-02
    261      1      1  -9.085290632E-02  -2.250409139E-03   9.088077314E-02
    262      1      1  -9.390740555E-02  -3.826352474E-03   9.398532752E-02
    263      1      1  -9.289853981E-02  -4.028990642E-03   9.298586702E-02
    264      1      1  -8.848131275E-02  -3.901723753E-03   8.856729732E-02
    265      1      1  -8.191851648E-02  -3.483604289E-03   8.199255357E-02
    266      1      1  -7.411513121E-02  -3.143446467E-03   7.418176278E-02
    267      1      1  -6.584805412E-02  -2.860422845E-03   6.591015286E-02
    268      1      1  -5.771665893E-02  -2.378919836E-03   5.776566434E-02
    269      1      1  -5.007976058E-02  -1.916981158E-03   5.011643679E-02
    270      1      1  -4.315732130E-02  -1.670235563E-03   4.318962918E-02
    271      1      1  -3.704075450E-02  -1.501799094E-03   3.707118685E-02
    272      1      1  -3.155144561E-02  -1.154910261E-03   3.157257572E-02
    273      1      1  -2.685672864E-02  -9.970982741E-04   2.687523169E-02
    274      1      1  -2.322127162E-02  -7.794745356E-04   2.323435035E-02
    275      1      1  -2.019938247E-02  -5.237197144E-04   2.020617070E-02
    276      1      1  -1.768473696E-02  -4.502134852E-04   1.769046674E-02
    277      1      1  -1.560386747E-02  -1.957337080E-04   1.560509506E-02
    278      1      1  -1.385466120E-02  -2.161054271E-04   1.385634651E-02
    279      1      1  -1.240439326E-02  -2.348546428E-04   1.240661633E-02
    280      1      1  -1.119541208E-02  -2.018295732E-04   1.119723121E-02
    281      1      1  -1.017348455E-02  -1.357815973E-04   1.017439062E-02
    282      1      1  -9.257223688E-03  -1.372652728E-04   9.258241310E-03
    283      1      1  -8.467284773E-03  -1.117875312E-04   8.468022667E-03
    284      1      1  -7.903824518E-03  -6.174314558E-05   7.904065677E-03
    285      1      1  -7.416673210E-03  -2.754084573E-05   7.416724345E-03
    286      1      1  -6.985336378E-03  -7.333719004E-05   6.985721342E-03
    287      1      1  -6.594230299E-03  -1.069964441E-05   6.594238979E-03
    288      1      1  -6.231926286E-03   7.129695781E-06   6.231930364E-03
    289      1      1  -5.882576445E-03   4.789962860E-05   5.882771456E-03
    290      1      1  -5.533242758E-03   5.540656764E-05   5.533520156E-03
    291      1      1  -5.146024850E-03   8.558394483E-05   5.146736478E-03
    292      1      1  -5.303817472E-03  -5.853086701E-04   5.336015931E-03
    293      1      1  -5.716593248E-03  -6.221596771E-04   5.750349644E-03
    294      1      1  -6.085804617E-03  -7.106982746E-04   6.127161649E-03
    295      1      1  -6.459676823E-03  -7.359805789E-04   6.501468455E-03
    296      1      1  -6.847400523E-03  -7.331811885E-04   6.886541119E-03
    297      1      1  -7.246672130E-03  -8.097171418E-04   7.291769250E-03
    298      1      1  -7.632240584E-03  -9.250531766E-04   7.688095974E-03
    299      1      1  -8.074514380E-03  -8.944573674E-04   8.123905246E-03
    300      1      1  -8.563979445E-03  -9.293829673E-04   8.614261235E-03
    301      1      1  -9.211601021E-03  -1.007056038E-03   9.266485593E-03
    302      1      1  -9.945382932E-03  -1.159969913E-03   1.001280040E-02
    303      1      1  -1.079832786E-02  -1.228522249E-03   1.086798747E-02
    304      1      1  -1.179083662E-02  -1.279061918E-03   1.186000960E-02
    305      1      1  -1.294712840E-02  -1.439348906E-03   1.302688985E-02
    306      1      1  -1.431116649E-02  -1.698710785E-03   1.441163088E-02
    307      1      1  -1.595615226E-02  -1.705943363E-03   1.604708814E-02
    308      1      1  -1.799312461E-02  -1.973129972E-03   1.810098824E-02
    309      1      1  -2.047362587E-02  -2.350730201E-03   2.060813647E-02
    310      1      1  -2.354387659E-02  -2.699392891E-03   2.369811906E-02
    311      1      1  -2.749578999E-02  -3.317663276E-03   2.769522264E-02
    312      1      1  -3.238501520E-02  -3.637020620E-03   3.258860427E-02
    313      1      1  -3.832198314E-02  -4.257495018E-03   3.855775740E-02
    314      1      1  -4.540638954E-02  -4.832634793E-03   4.566283576E-02
    315      1      1  -5.366478710E-02  -5.650949782E-03   5.396149189E-02
    316      1      1  -6.289964198E-02  -6.797885114E-03   6.326591660E-02
    317      1      1  -7.275831984E-02  -7.641343825E-03   7.315848031E-02
    318      1      1  -8.274326898E-02  -8.613967310E-03   8.319043812E-02
    319      1      1  -9.174389785E-02  -9.178485939E-03   9.220188391E-02
    320      1      1  -9.870508394E-02  -1.005341804E-02   9.921574880E-02
    321      1      1  -1.022083097E-01  -9.943542114E-03   1.026908594E-01
    322      1      1  -1.025071729E-01  -9.667998266E-03   1.029620837E-01
    323      1      1  -9.944184358E-02  -1.011183387E-02   9.995463690E-02
    324      1      1  -8.971372162E-02  -1.268027939E-02   9.060541558E-02
    325      1      1  -7.706831710E-02  -1.484595280E-02   7.848520762E-02
    326      1      1  -5.692100919E-02  -1.863973330E-02   5.989524977E-02
    327      1      1   4.398494738E-02  -1.259955827E-02   4.575395573E-02
    328      1      1   5.538731254E-02  -6.886561829E-03   5.581378974E-02
    329      1      1   5.295284615E-02  -7.563167980E-03   5.349023673E-02
    330      1      1   4.834505976E-02  -6.846110910E-03   4.882739024E-02
    331      1      1   4.107874667E-02  -7.772299978E-03   4.180756002E-02
    332      1      1   3.686505493E-02  -7.603000613E-03   3.764090718E-02
    333      1      1   3.264008420E-02  -9.103465078E-03   3.388581079E-02
    334      1      1   2.855622463E-02  -8.204349720E-03   2.971143415E-02
    335      1      1   2.507144047E-02  -8.803286546E-03   2.657207145E-02
    336      1      1   2.182818442E-02  -9.748641644E-03   2.390618432E-02
    337      1      1   1.832769956E-02  -9.659893893E-03   2.071758001E-02
    338      1      1   1.524174116E-02  -1.115154592E-02   1.888564666E-02
    339      1      1   1.134976484E-02  -7.650359914E-03   1.368740913E-02
    340      1      1   1.114497839E-02   2.427783596E-03   1.140634369E-02
    341      1      1   1.145437758E-02   8.791548133E-03   1.443932423E-02
    342      1      1   1.446022133E-02   1.058461146E-02   1.792015627E-02
    343      1      1   1.700212376E-02   1.040803435E-02   1.993487877E-02
    344      1      1   1.901116683E-02   1.053882819E-02   2.173686646E-02
    345      1      1   2.174306786E-02   9.241894381E-03   2.362569812E-02
    346      1      1   2.464916006E-02   8.920413959E-03   2.621363914E-02
    347      1      1   2.798583791E-02   8.932242546E-03   2.937672685E-02
    348      1      1   3.225007023E-02   8.817109701E-03   3.343364254E-02
    349      1      1   3.724667248E-02   8.848644365E-03   3.828332689E-02
    350      1      1   4.307454011E-02   8.977142974E-03   4.400005797E-02
    351      1      1   4.882334133E-02   9.925305394E-03   4.982198657E-02
    352      1      1   5.488543108E-02   1.115747076E-02   5.600803244E-02
    353      1      1   5.924982121E-02   1.328933703E-02   6.072188890E-02
    354      1      1   5.694666875E-02   1.881725185E-02   5.997509524E-02
    355      1      1   3.401370684E-02   2.377867245E-02   4.150129535E-02
    356      1      1  -7.159207081E-02   9.053217350E-03   7.216221551E-02
    357      1      1  -9.217833904E-02   1.804428840E-03   9.219599856E-02
    358      1      1  -1.017302306E-01  -2.688233231E-03   1.017657428E-01
    359      1      1  -1.049065400E-01  -4.430054296E-03   1.050000358E-01
    360      1      1  -1.032747967E-01  -4.536418164E-03   1.033743814E-01
    361      1      1  -9.808762427E-02  -4.014054021E-03   9.816972377E-02
    362      1      1  -9.069689697E-02  -3.911680733E-03   9.078121152E-02
    363      1      1  -8.199257136E-02  -3.884915875E-03   8.208455598E-02
    364      1      1  -7.280347654E-02  -3.367693977E-03   7.288132517E-02
    365      1      1  -6.373717601E-02  -2.681777613E-03   6.379356972E-02
    366      1      1  -5.521026862E-02  -2.260956984E-03   5.525654430E-02
    367      1      1  -4.748738473E-02  -1.734528536E-03   4.751905194E-02
    368      1      1  -4.043109985E-02  -1.595460693E-03   4.046256702E-02
    369      1      1  -3.434410405E-02  -1.228281884E-03   3.436606115E-02
    370      1      1  -2.917035411E-02  -9.449577536E-04   2.918565579E-02
    371      1      1  -2.512631001E-02  -7.953354684E-04   2.513889443E-02
    372      1      1  -2.178012401E-02  -5.777233772E-04   2.178778479E-02
    373      1      1  -1.902394333E-02  -2.775074557E-04   1.902596726E-02
    374      1      1  -1.673477713E-02  -1.852205791E-04   1.673580211E-02
    375      1      1  -1.482910801E-02  -2.181009016E-04   1.483071179E-02
    376      1      1  -1.324999764E-02  -2.442241866E-04   1.325224822E-02
